lat,lng,comment
42.08697447,-75.96931656
42.08693622,-75.96898033
42.08690091,-75.9686146
42.0868395,-75.96826072
42.08683598,-75.96822615
42.08683484,-75.96822036
42.08683326,-75.96815561
42.0868463,-75.96771449
42.08686431,-75.96707112
42.08685074,-75.9679777
42.08684658,-75.96740121
42.08688051,-75.96685393
42.08695091,-75.96623789
42.08703572,-75.96568497
42.08705943,-75.9653776
42.08673711,-75.96527944
42.08641809,-75.96533088
42.08613007,-75.96540017
42.08600421,-75.96555058
42.08562464,-75.96542024
42.08522132,-75.96517928
42.08513018,-75.96497086
42.08514113,-75.96495062
42.08514402,-75.96495099
42.08529827,-75.96491122
42.08553556,-75.96503527
42.08553775,-75.96503797
42.08558712,-75.96507005
42.08587716,-75.96521381
42.08638055,-75.96532357
42.08670548,-75.96527843
42.08684344,-75.96524581
42.08708156,-75.96533198
42.08720159,-75.9652629
42.08734162,-75.96481931
42.08744464,-75.96453661
42.08765337,-75.96406353
42.08791986,-75.96359212
42.08806473,-75.96336843
42.08827963,-75.96307405
42.08843604,-75.96290262
