lat,lng,comment
42.08689034,-75.9660139
42.08689751,-75.96601422
42.08689342,-75.966019
42.08688246,-75.96600898
42.08687853,-75.96600395
42.0868781,-75.96599402
42.08688097,-75.96592762
42.08695077,-75.96574243
42.08707073,-75.9653257
42.08716672,-75.96497514
42.08722057,-75.964742
42.08736837,-75.96435525
42.08762076,-75.9639086
42.08783327,-75.96354439
42.08796036,-75.96335812
42.08814756,-75.96311769
42.08853709,-75.96285791
42.08894138,-75.96284872
42.08936184,-75.96316669
42.08960104,-75.96362477
42.08970029,-75.96423426
42.08973347,-75.96467602
42.0897376,-75.96494783
42.08971462,-75.96537117
42.08966631,-75.96577334
42.08988264,-75.96610671
42.09032069,-75.96645474
42.09060897,-75.96691872
42.09098945,-75.96743785
42.0913756,-75.96777212
42.09193217,-75.96799082
42.09261778,-75.96785883
42.09323144,-75.96759599
42.09396997,-75.96734002
42.09456405,-75.96717385
42.09516903,-75.96710751
42.09536855,-75.96677872
42.09533997,-75.96592522
42.09531891,-75.96484168
42.09528125,-75.96386561
42.09523433,-75.96254657
42.09518822,-75.96136223
42.0951028,-75.95989421
42.09487295,-75.95841261
42.09457517,-75.95714834
42.09416241,-75.9556729
42.09372882,-75.95415995
42.09337863,-75.95301492
42.09309244,-75.95197681
42.09295666,-75.95150828
42.09265609,-75.95151695
42.09215018,-75.95173921
42.09197789,-75.95190688
42.09204336,-75.95232959
42.09215317,-75.95267648
42.09226917,-75.95304858
42.09232946,-75.95326593
42.0923737,-75.95342637
42.09242999,-75.95364593
42.09247074,-75.95374942
42.09251162,-75.95387562
42.09251163,-75.95388007
42.09251195,-75.95388013
42.09250711,-75.95387564
42.09250535,-75.95387588
42.09250547,-75.9538709
42.09250823,-75.95386571
42.09251247,-75.95386622
42.09251594,-75.95389999
42.09252588,-75.95403145
42.09259261,-75.95430185
42.09266749,-75.95455285
42.09263003,-75.95472506
42.09227115,-75.95491306
42.09182144,-75.95511731
42.09126215,-75.95538907
42.09074709,-75.95557535
42.09010241,-75.95573054
42.08957067,-75.95585298
42.08936758,-75.95589189
42.08937537,-75.95589201
42.08935973,-75.9558981
42.08923562,-75.95593757
42.08884992,-75.95608955
42.08847611,-75.95628394
42.08818805,-75.9564849
42.0880209,-75.95698858
42.08808957,-75.95793602
42.08823201,-75.95879788
42.08825951,-75.95911171
42.08810552,-75.95925963
42.08765287,-75.95920752
42.08688785,-75.95909993
42.08620863,-75.95901258
42.08541245,-75.95874986
42.0846462,-75.95843389
42.0839543,-75.95837067
42.0832018,-75.95845414
42.08277636,-75.95847857
42.08258252,-75.95878926
42.08254875,-75.95933484
42.08252124,-75.95951269
42.08252137,-75.95959929
42.08275497,-75.95974079
42.08329145,-75.95986379
42.0835462,-75.96058157
42.083508,-75.96138737
42.08362165,-75.96236343
42.08388443,-75.96314187
42.08434426,-75.96397914
42.08483277,-75.96448874
42.08544604,-75.96493919
42.08601808,-75.96522542
42.08643744,-75.96527766
42.08682447,-75.96518533
42.08696299,-75.96521334
42.08700267,-75.96521092
42.08704956,-75.96522314
42.08714446,-75.96538402
